name,ref,longitude,latitude
Sandy Mills,0000001041,-7.575758,54.838318
Ballybofey,0000001043,-7.790749,54.799769
Glaslough,0000003055,-6.894344,54.323281
Cappog Bridge,0000003058,-7.021297,54.266809
Moyles Mill,0000006011,-6.596077,54.011574
Clarebane,0000006012,-6.666056,54.092856
Charleville Weir,0000006013,-6.413996,53.855843
Tallanstown Weir,0000006014,-6.54957,53.921092
Mansfieldstown,0000006021,-6.444491,53.896604
Burley,0000006025,-6.594341,53.848038
Aclint,0000006026,-6.640019,53.924765
Port Oriel,0000006060,-6.221440988462059,53.798040678733315
Dundalk Port,0000006061,-6.385468798531836,54.00768862093954
Carlingford,0000006063,-6.19210298626672,54.05248920728783
Tremblestown,0000007001,-6.855643,53.562065
Killyon,0000007002,-6.970771,53.487771
Castlerickard,0000007003,-6.92185,53.485524
Stramatt,0000007004,-7.043613,53.796298
Trim,0000007005,-6.791844,53.556405
Fyanstown,0000007006,-6.802883,53.725823
Boyne Aqueduct,0000007007,-6.958844,53.453137
Navan Weir,0000007009,-6.672058,53.643559
Liscartan,0000007010,-6.720333,53.663269
O'Dalys Bridge,0000007011,-7.011203,53.768982
Slane Castle,0000007012,-6.562423,53.707212
Virginia Hatchery,0000007033,-7.078577,53.83437
Blackcastle,0000007037,-6.680586,53.654697
Tinker's Bridge,0000007049,-7.331587,53.344534
Mornington Bridge,0000007062,-6.254403,53.719427
Virginia,0000007081,-7.090788,53.831615
Newfield,0000007115,-6.340713458926638,53.72368847259281
Broadmeadow,0000008008,-6.231775,53.474922
Duleek D/S,0000008011,-6.407709,53.656184
Leixlip,0000009001,-6.490439,53.368665
Waldron's Bridge,0000009010,-6.26696243403401,53.305816595140904
Tipper,0000009107,-6.62551577650018,53.20487431610196
Killashee,0000009108,-6.672742547147854,53.194734045683475
Haynestown,0000009109,-6.593050318600525,53.216592444131024
Hazelhatch,0000009111,-6.529315667984528,53.33054399776574
Clonee Weir,0000009112,-6.432552295588386,53.41083702855518
Anglesea Road,0000009369,-6.230909186299616,53.32788126403148
